motherid,sdate,edate,seventtype,eeventtype,locationid,location,episode_id
CAA028069,2009-10-15,2013-04-15,2,2,CAA028,2,190
CAA028082,NA,NA,NA,NA,CAA028,2,191
CAA029006,1995-11-16,2008-08-21,3,2,CAA029,2,192
CAA029006,2009-02-15,2009-12-07,2,2,CAA029,2,193
CAA029008,1995-11-16,2003-05-15,3,2,CAQ138,2,194
CAA029008,2003-09-15,2012-01-15,2,2,CAQ138,2,195
CAA029041,NA,NA,NA,NA,CAA029,2,196
CAA029044,2012-03-15,2020-10-15,2,2,CAM039,2,197
CAA030007,2008-06-15,2013-11-15,2,2,CAA030,2,198
CAA030007,2016-10-15,2018-09-15,2,2,CAA030,2,199
CAA030008,1995-11-16,2000-07-15,3,2,WEG114,2,200
CAA030008,2002-12-15,2005-05-14,2,2,WEG114,2,201
CAA030009,1995-11-16,2001-09-15,3,2,CAH062,1,202
CAA030009,1995-11-16,2001-09-15,3,2,CAH062,2,203
CAA030009,1995-11-16,2001-09-15,3,2,NBA071,2,204
CAA030009,2002-03-15,2009-04-15,2,2,CAH062,1,205
CAA030009,2002-03-15,2009-04-15,2,2,CAH062,2,206
CAA030009,2002-03-15,2009-04-15,2,2,NBA071,2,207
CAA032028,2015-11-15,2016-12-15,2,2,CAA032,2,208
CAA032033,2006-04-15,2007-05-15,2,2,CAA032,2,209
CAA032045,2011-01-20,2011-08-15,2,2,CAG074,2,210
CAA032045,2011-08-15,2012-08-15,2,2,CAG074,2,211
CAA032051,2014-02-15,2015-01-15,2,2,CAA032,2,212
CAA033003,1996-12-08,2007-01-06,2,2,CAA033,1,213
CAA033003,2007-01-06,2007-11-15,2,2,CAA033,1,214
CAA033008,NA,NA,NA,NA,CAA033,2,215
CAA034009,1995-11-16,2018-07-15,3,2,CAA034,2,216
CAA034010,1995-11-16,2001-03-15,3,2,NBD041,1,217
CAA034010,1995-11-16,2001-03-15,3,2,NBD041,2,218
CAA034010,2001-03-15,2019-04-15,2,2,NBD041,1,219
CAA034010,2001-03-15,2019-04-15,2,2,NBD041,2,220
CAA034012,1995-11-16,1996-11-15,3,2,CAA034,2,221
CAA034012,1995-11-16,1996-11-15,3,2,CAE059,2,222
CAA034012,1996-11-15,2000-07-15,2,2,CAA034,2,223
CAA034012,1996-11-15,2000-07-15,2,2,CAE059,2,224
CAA034012,2000-07-15,2001-09-15,2,2,CAA034,2,225
CAA034012,2000-07-15,2001-09-15,2,2,CAE059,2,226
CAA034012,2001-09-15,2002-08-15,2,2,CAA034,2,227
CAA034012,2001-09-15,2002-08-15,2,2,CAE059,2,228
CAA034012,2002-08-15,2004-08-15,2,2,CAA034,2,229
CAA034012,2002-08-15,2004-08-15,2,2,CAE059,2,230
CAA034016,1995-11-16,2001-03-15,3,2,CAA034,2,231
CAA034016,1995-11-16,2001-03-15,3,2,NBD041,1,232
CAA034016,2001-08-15,2002-08-15,2,2,CAA034,2,233
CAA034016,2001-08-15,2002-08-15,2,2,NBD041,1,234
CAA034016,2002-08-15,2002-10-15,2,2,CAA034,2,235
